song_title,explicit,artists,artist_ids,genres,release_date,lyrics,sentiments,languages,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Radical City : Living In The City,False,"['SEGA SOUND TEAM', 'Richard Jacques']","['4ShgdWtm52xvEr8uYmT0V6', '66SWQBUB6cJGBegelsW2sd']","['japanese vgm', 'sound team']",2014-06-25,"(Living in the city) you know you have to survive (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? (Living in the city) you know you have to survive (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? So many different things to see, there's no time So many different things to do, but there's no time So many people all around, so many feelings to be found Living in a city where no one lets you down (Living in the city) you know you have to survive (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? (Living in the city) (in the city) you know you have to survive (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? So many things that we've been through, can you feel it? So many things for us to do, but can you feel it? So many faces all around, so many places to be found Living in a city where nothing gets you down (oh!) (Living in the city) you know you have to survive (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? (Living in the city) you know you have to survive (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? In the sky at night The stars are shining bright You can see the city light 'Cause I'm here to make it right In the city Oh, yeah, oh! (Living in the city) you know you have to survive (Living in the city) you got (yeah) to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? (Living in the city) you know you have to survive (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? Oh! (Living in the city) you know you have to survive (the city!) (Living in the city) you got to keep that dream alive (Living in the city) where everything is free (Living in the city) can't you see? In the city, in the city (Living in the city) in the city, in the city (Living in the city) oh, in the city (Living in the city) (Living in the city) You know you have to survive (Living in the city) oh (Living in the city) Oh (living in the city) In the city, in the city In the city (living in the city), in the city (Living in the city) (Living in the city) (Living in the city) ","[0, 0, 0, 0, 0, 0, 0.5717386603355408]",['en'],0.55,0.981,10,-4.399,0,0.0957,0.229,8.11e-05,0.317,0.573,148.09,audio_features,6DmANkO1WB17OKvIHCumJE,spotify:track:6DmANkO1WB17OKvIHCumJE,https://api.spotify.com/v1/tracks/6DmANkO1WB17OKvIHCumJE,https://api.spotify.com/v1/audio-analysis/6DmANkO1WB17OKvIHCumJE,287073,4
55th Street,True,['Crip Mac'],['3g9BeySVGMMFGgReA2NzD5'],[],2023-01-30,,[],[],0.912,0.417,7,-14.418,1,0.663,0.0133,0.0,0.395,0.571,98.04,audio_features,6DmKDJJX1LegdB2fRH5sSt,spotify:track:6DmKDJJX1LegdB2fRH5sSt,https://api.spotify.com/v1/tracks/6DmKDJJX1LegdB2fRH5sSt,https://api.spotify.com/v1/audio-analysis/6DmKDJJX1LegdB2fRH5sSt,107208,4
Functional Addict (with Gunna & Nigo),True,"['Pharrell Williams', 'Gunna', 'Nigo']","['2RdwBSPQiwcmiDo9kixcl8', '2hlmm7s2ICUX0LVIhVFlZQ', '2rAnv6brcXaglLZBB4XXEn']","['dance pop', 'pop', 'pop rap', 'atl hip hop', 'melodic rap', 'rap', 'trap']",2022-03-25,"The one that she fuck with (drop), she love how I touch it She how love how it feel, I'm up in her stomach (bag it up) Ain't on no budget, so no jewelers touch it (ayy) Don't bust down no watches (ayy) Only these bitches you cuff, so let's talk about wrist (drop it) Not talkin' 'bout that lil' toy in your bitch (bag it up) That is a railroad, but this is a rich (ayy) Two-point-five somethin' there, how does it fit? I got new yellow cake just to run all my errands (drop) Got the vaccine 'cause you niggas is variants (bag it up) Just got to Vikin to fish with my parents (ayy) Gold on my teeth 'cause it matches my larynx (ayy) I just told Tiffany's make my epiphany (drop) Clear yellow carbon, I F with it vividly (bag it up) LaF number two, but the roof back in Italy (ayy) Shoutout to my honnies, I heard y'all was missin' me Bust it, babe, bust it, bust it, babe Bust it, babe, bust it, bust it, babe Bust it, babe, bust it, bust it, babe Bust it, babe, bust it, bust it, babe Stick that ass out with pocket lips And drip the sauce off you ain't touchin' chips A half a million to fuck up with If not, you better off duckin' him Functional addict (drop)  She every day with it (bag it up, ayy) She don't play with it (ayy) She gotta have it (drop, bag it up) So she stay with it (ayy) She don't play with it (ayy) Functional addict, yeah (no, no, no, no, drop) She don't care with it (ayy) She don't play with it (ayy) She gotta have it (drop) So she stay with it (bag it up) She don't play with it (ayy, ayy) You gon' ask me now or you too proud to beg? (Drop) She wan' go Hermes 'fore we get in that bed (bag it up) I respect the stunters, I might let you spend (ayy) My boo like my crew, when she crew, she say ""Slatt"" Flew 'cross the map, on them cheeks, that's a fact (drop it) Maybe it's six hunnid, recline in the back (bag it up) Off the showroom, floating, come with a stretch (ayy) Fuck a hoe, so shoulder strap on my back (ayy) I can go for nothin', tatted it cap (drop) Fuck the rules, 'cause life'll never be fair (bag it up) You picked your side so don't even give me no dab (ayy) You picked your side and nigga stay on it, stay on it (ayy) Diamonds hittin', look like Crayola, they holdin' (drop) I'm a wolf and you a coyote (fuck it up) You niggas actin' rich and rowdy (ayy) Pull up, two-door coupe, this not an Audi (ayy) I popped the addy (drop) She call me daddy (bag it up) Tiffany come, but it's petty (ayy) Functional addict (ayy) Savage, you go use your credit Boss up, you niggas pathetic (bag it up) These flows done turned me into an addict (ayy, ayy) Functional addict (drop) She every day with it (bag it up) She don't play with it (ayy) She gotta have it (ayy, drop) So she stay with it (bag it up, ayy) She don't play with it (ayy) Ayy, bust it (drop) Bust it, bust it (bag it up)  Bust it, bust it (ayy, ayy) Bust it, bust it (bag it up)  Bust it, bust it (ayy, ayy) Bust it, babe, bust it, bust it, babe Bust it, babe, bust it, bust it, babe Bust it, babe, bust it, bust it, babe Bust it, babe, bust it, bust it, babe Stick that ass out with pocket lips And drip the sauce like you ain't touchin' chips A half a million to fuck up with If not, you better off duckin' him ","[0, 0, 0, 0, 0.5840277671813965, 0, 0]",['en'],0.796,0.627,4,-3.763,0,0.122,0.258,2.76e-05,0.0871,0.711,157.465,audio_features,6DmXZWftfFvqdGQlQM3rVN,spotify:track:6DmXZWftfFvqdGQlQM3rVN,https://api.spotify.com/v1/tracks/6DmXZWftfFvqdGQlQM3rVN,https://api.spotify.com/v1/audio-analysis/6DmXZWftfFvqdGQlQM3rVN,205985,3
Kitty Kat,True,['Megan Thee Stallion'],['181bsRPaVXVlUKXrxwZfHK'],"['houston rap', 'pop', 'rap', 'trap queen']",2021-10-29,"J-J-R Say what you want, but a bitch be working Clown ass bitch, I ain't coming to the circus Broke ass niggas on the internet hurting Big booty bitch, getting rich off twerking Fuck that, if I had a dick, make 'em suck that Pull up to the club, make a nigga get the fuck back Superstar, and you little hoes my groupies I'm done giving 15 minutes to these goofies (hahaha) Big wheels rolling, can't tell how shit feel Bitch, how I changed when I only got big bills? (Ah) Problem, and that waist on Coke bottle Walking these hoes like a runway model Trust me, I'm finna get free like Tubman (bye) I'll never let another label try to fuck me Bad bitch, and I'm on point like a cactus I bet a rеal bitch be the last one laughing (ah) Here kitty-kitty, here kitty-kitty, here kitty Here kitty-kitty, here kitty-kitty, ah Here kitty-kitty, here kitty-kitty, here kitty Here kitty-kitty, here-kitty-kitty, ah Pussy ass nigga, don't hide that tail Number one rule, don't kiss and tell Ass so fat, finna break that scale (ah) Here kitty-kitty, here kitty-kitty, yeah These bitches keep saying they run shit, how? (Huh?) When the last you hoes even worked out? And running your mouth don't count Messy ass bitch, close the motherfucking app out Is anybody round this bitch keeping score? Grammy nominated pussy, bitch, I got four (bitch, I got four) Cover after cover, I'm raw, no rubber (ah) All year 'round, having hot girl summer (mwah) I'm the shit, that's why these hoes pissed I can spill the tea, but I'm not a messy bitch And ever since I came out the pussy, I was lit I knew I was a problem when them hoes start to diss Them niggas fucked up when they let me get rich (yeah) I started getting money and I got on my Beyoncé Them hoes gotta sign an NDA to come around me I'm feeling like Kelis 'cause a bitch real bossy, ah Here kitty-kitty, here kitty-kitty, here kitty Here kitty-kitty, here-kitty-kitty, ah Here kitty-kitty, here kitty-kitty, here kitty Here kitty-kitty, here kitty-kitty, ah Pussy ass nigga, don't hide that tail Number one rule, don't kiss and tell Ass so fat, finna break that scale (ah) Here kitty-kitty, here kitty-kitty, yeah P is for ""pussy"", P-U-S-S-Y That pussy, P-U-S-S-Y That pussy, P-U-S-S-Y That pussy (yeah) Here kitty-kitty, here kitty-kitty, yeah Here kitty-kitty, here kitty-kitty, here kitty Here kitty-kitty, here kitty-kitty Here kitty-kitty, here kitty-kitty, here kitty Here kitty-kitty, here kitty-kitty Pussy ass nigga, don't hide that tail Number one rule, don't kiss and tell Ass so fat, finna break that scale Here kitty-kitty, here kitty-kitty, yeah ","[0.5962548851966858, 0, 0, 0, 0, 0, 0]",['en'],0.983,0.86,9,-3.583,1,0.0829,0.0131,0.0,0.0859,0.88,126.039,audio_features,6DoGtGyDgv5mVxeCpP92tX,spotify:track:6DoGtGyDgv5mVxeCpP92tX,https://api.spotify.com/v1/tracks/6DoGtGyDgv5mVxeCpP92tX,https://api.spotify.com/v1/audio-analysis/6DoGtGyDgv5mVxeCpP92tX,125030,4
Avenyn,True,"['Edberg', 'KNINE']","['2RvDEE0oJ4u1TIZjYNailO', '3TdWdCEKP44KE2HNTfqVlV']",[],2015,"Stor kuk, swag stil Glider runt på avenyn Stor kuk, swag stil Glider runt på avenyn Glas efter glas, shot efter shot (Miller) Pojkarna försöker stoppa snoppen i nåt (tequila) Glas efter glas, shot efter shot (Miller) Pojkarna försöker stoppa snoppen i nåt (tequila) Klockan är åtta, dags att shotta Vi går ner på stan och vi börjar hoppa Från baren till baren, gäris vill ha en Det är klart de vill, ta det chill Häll upp två glas med tonic och gin Här har du mitt nummer, ta det lugnt Ring någon gång och ha det gött Jag får ett samtal, hon vill va nåt mer Jag säger chilla baby, vänta och se Ingen stress för natten är ung Lönen har kommit, så ikväll är jag kung Några glas för mycket, dansar fram till en dam Hon säger: ""Jag har pojkvän, fuck you, dra"" Svarar: ""Hej, mitt namn är Patrik, jag jobbar som revisor"" 50 lök i månan med en villa som är skitstor Jag ba skoja Stor kuk, swag stil Glider runt på avenyn Stor kuk, swag stil Glider runt på avenyn Glas efter glas, shot efter shot (Miller) Pojkarna försöker stoppa snoppen i nåt (tequila) Glas efter glas, shot efter shot (Miller) Pojkarna försöker stoppa snoppen i nåt (tequila) Annan del av stan glider jag Park Lane Varje dag har det bra, poppar några flaskor Nästa dag, måste hämta vatten Hon ligger kvar, oj, jag menar de Går runt i min villa, naken som Poseidon In till rummet, de börjar spela pingpong Stor och hårig, de kallar den för King Kong 19 barre, avenziz life? Hon med morsan, svär, det är najs! Fredag kväll är jag någon annan Fredag kväll, jag och mina mannar Sliskig och så ändå Den din dam tittar på, så Ikväll kommer hon bara skrika ""åh"" Åh, åh, åh, fortsätt så! Precis som chicas, jag kommer och går Precis som chicas, jag kommer och går Precis som chicas, jag kommer och går Precis som chicas, jag kommer och går Stor kuk, swag stil Glider runt på avenyn Stor kuk, swag stil Glider runt på avenyn Glas efter glas, shot efter shot (Miller) Pojkarna försöker stoppa snoppen i nåt (tequila) Glas efter glas, shot efter shot (Miller) Pojkarna försöker stoppa snoppen i nåt (tequila) ","[0, 0, 0.31329432129859924, 0, 0, 0, 0]",['sv'],0.844,0.709,7,-7.21,1,0.0438,0.124,0.000233,0.0677,0.623,120.027,audio_features,6DoOW10hEsQdT8Ujcsevy8,spotify:track:6DoOW10hEsQdT8Ujcsevy8,https://api.spotify.com/v1/tracks/6DoOW10hEsQdT8Ujcsevy8,https://api.spotify.com/v1/audio-analysis/6DoOW10hEsQdT8Ujcsevy8,160010,4
Last Hope (Acoustic Version of the Song Made Famous by Paramore),False,['Acoustic Guitar Tribute Players'],['6uq4k3kO6HLiRjdiF8uNcZ'],[],2016-10-22,,[],[],0.599,0.515,5,-4.984,1,0.0381,0.791,0.851,0.113,0.293,101.888,audio_features,6DpGfIOv9NBD9JJD5t9F8Y,spotify:track:6DpGfIOv9NBD9JJD5t9F8Y,https://api.spotify.com/v1/tracks/6DpGfIOv9NBD9JJD5t9F8Y,https://api.spotify.com/v1/audio-analysis/6DpGfIOv9NBD9JJD5t9F8Y,320392,4
When Am Gone,False,['Moonlight beatz'],['4LpXz4683QzPfoXgqtyjSG'],[],2023-04-23,,[],[],0.89,0.577,5,-4.192,1,0.19,0.306,0.942,0.112,0.91,103.008,audio_features,6DpNL4ZpJvJ36R5udMjJZ5,spotify:track:6DpNL4ZpJvJ36R5udMjJZ5,https://api.spotify.com/v1/tracks/6DpNL4ZpJvJ36R5udMjJZ5,https://api.spotify.com/v1/audio-analysis/6DpNL4ZpJvJ36R5udMjJZ5,70792,4
Mun Rá,False,"['Sabotage', 'Instituto']","['5deK5HnwbEKvge2svL0i0B', '33xmh99C0KxDvzaPjR178o']","['boom bap brasileiro', 'brazilian hip hop', 'brazilian reggae', 'rap nacional antigo', 'brazilian hip hop', 'brazilian indie', 'manguebeat']",2018-05-25,"Menina Leblon, vermelho Baton Foi vista com Jow malhando na praça Sabote Canão convoca no som A Paz dos irmãos de toda a quebrada Sabotage, mano Anisio Eu vejo diabólico confiro analiso Um branco e um preto unido Resposta que cala o ridiculo Vejo assim confisco, mundo submisso Eu adiquiro, alivio, paz para os meu filhos Na decente, atenciosamente eu sigo em frente tipo assim Regenerado delinquente lá do Brooklyn Não sou Mun-Rá mas tenho sim uns Pit Bull por mim Sei que até lá, liberdade já, pros meus irmãozinhos Representei, com um do verdinho na mente ok Não desandei eu me empenhei me dediquei também Conheço o povo, de Sampa, RJ, BH, Baixada, Porto Sou Gavião Fiel de origem louco Nada bobo, não brigo pelo jogo, sou fogo contra fogo Mais vale uma familia e um qualquer no bolso Medo, talvez desemprego sofrimento lamento Vai ser demais, vou viver sem paz Pagar veneno, nas ruas falcatrua zé povinho Um isqueiro, o itinerário de um puteiro é o Brasil Brasileiro se infiltraram, as portas se fecharam Quem rima está aqui, quem não rima aplaude o adversário Tipo Jagunço, Chabu, Neguim até lá Liberdade já pro Nu e o Baiano Se liga na fita danados otários estão maquinados no morro Falaram que pode atirar na sequência se pá vão prestar nem socorro Mas abre olho, o cara piolho, é sempre um mano dos nossos O inimigo meu tem Astra, barca, Blazer também tem moto Sul Canão meu bairro, pilotei não deixei rastro Comentaram sim, forjaram que eu vi, duas Ipanemas no bafo Mais no bairro eu pego meu filho na fé vinha vindo na fé vou seguir Deus que me livre da mira dos tiras Mas nêgo eu não fico não brinco nem mosco Nego só vejo os destroços Do pobre que acorda com ódio O anjo do céu não pode ser réu Quem vem das ruas, não joga fácil Tipo Invasor tenebroso, fogo contra fogo Lúcio Flavio louco, um corvo Sou maloqueiro sou, e lá vou eu jow É um dois pra pegar, então policia sai do pé Pra meu alivio eu quero um beck Mais uma vez o enxame quem provoca é o zica Sou maloqueiro sou, e lá vou eu jow É um dois pra pegar, então policia sai do pé Pra meu alivio eu quero um beck Mais uma vez o enxame quem provoca é o zica Menina Leblon, vermelho Baton Foi vista com Jow malhando na praça Sabote Canão convoca no som A Paz dos irmãos de toda a quebrada Sabotage, mano Anisio Eu vejo diabólico confiro analiso Um branco e um preto unido Resposta que cala o ridiculo Vejo assim confisco, mundo submisso Eu adiquiro, peço alivio, paz para os meu filhos Na decente, atenciosamente eu sigo em frente tipo assim Regenerado delinquente lá do Brooklyn Não sou Mun-Rá mas tenho sim uns Pit Bull por mim De Zona Oeste à Capão, de Leste à região Norte Oeste tipo Canão, hé ... É embaçado, né ladrão? Canão ou Boqueirão, é várias vezes joe treta Eu vi joe, se a idéia não trocou gançou, dançou Eu vi colou bola de meia, não teve isqueira Só não bobeia você lembras, do que tu queiras Eu, Deus e a Mary Jane versus Os 16 que se iludirem perde a fé Mas muitas vezes assim que é Sei que tem gambé, da pane em Super-Homem Que também se esquece toma bonde Canão lembra a Igreja, o bar do Bé as breja Cobiça, policia, as maguas, os deixa, joe Moscô sujou foi pro saco, fico embaçado É ninguém trinca é embassado, eu embaço Na história várias vezes faço hits, dum som muita treta É você lembra, bate cabeça e a zica quem curte é da familia Ladrão proceder não se arrisca, corri na lama Eu sim sou Brooklyn, do Rap eu sou um terror Domino o Emilin, Shaquille O'neal, lembro Deda Finado meu mano, tipo morse na vida do crime um estopim Verdade Brown o gosto tá cruel o crime não é mel O medo vem do céu como foi cruel De arrec-cléu click-cléu o povo é algo fel Eu sou um problema, pra quem pensa que o Rap é pra loki Demorô vem ver filhos de mãe se envolvem Se não me viu no sapatinho mentiu tô sempre na maior Guerreiro ando só, samurai sem sacatró Também lembrei das vezes eu Durval Chicó Quem pisa na malote eu sei quem dava dó Quem for lá no Canão Brooklyn Sul me vê A lei das ruas, é rude faz você aprender Proceder pra vencer, pra crescer, prevalecer Sou maloqueiro sou, e lá vou eu joe É um dois pra pegar, então polícia sai do pé Pra meu alívio eu quero um beck Mais uma vez o enxame quem provoca é o zica Sou maloqueiro sou, e lá vou eu joe É um dois pra pegar, então polícia sai do pé Pra meu alívio eu quero um beck Mais uma vez o enxame quem provoca é o zica Pode acreditar, Instituto outra vez de pé Sabotage, Brooklyn Sul Canão Representando, a favela no cinema nacional As grandes tela e tal, é isso aí ","[0, 0, 0, 0, 0.4778154790401459, 0, 0]",['pt'],0.888,0.709,2,-5.479,1,0.279,0.192,0.000114,0.0637,0.804,88.329,audio_features,6DqvKqY9qJ8GTQ87Q6fpOZ,spotify:track:6DqvKqY9qJ8GTQ87Q6fpOZ,https://api.spotify.com/v1/tracks/6DqvKqY9qJ8GTQ87Q6fpOZ,https://api.spotify.com/v1/audio-analysis/6DqvKqY9qJ8GTQ87Q6fpOZ,275373,4
O hipopótamo louco - Música do Mundo,False,['Guru Woof Música Relaxante Para Crianças'],['6i4v67kckzNVXgXKMF2RYz'],[],2022-05-20,,[],[],0.636,0.689,0,-14.049,0,0.139,0.533,0.789,0.139,0.739,176.039,audio_features,6DrTrMBkF39XIXdoWCjeHD,spotify:track:6DrTrMBkF39XIXdoWCjeHD,https://api.spotify.com/v1/tracks/6DrTrMBkF39XIXdoWCjeHD,https://api.spotify.com/v1/audio-analysis/6DrTrMBkF39XIXdoWCjeHD,114316,4
Udri Mujo,False,['Lepa Brena'],['6RXy4TveIeicfTZDzmYWL7'],"['narodna muzika', 'turbo folk']",2016,"Udri, udri, udri, Mujo Udri Mujo u tarabe Udri, udri, udri, Mujo Udri Mujo u tarabe, hej Ni poljubac nije više Kao nekad džabe Ni poljubac nije više Kao nekad džabe, hej Kaži, mala, u šta treba Udaraću sve do neba Kaži, mala, matere ti Ja ću vazda udarati Udri, udri, udri, Mujo Udri Mujo u šargije Udri, udri, udri, Mujo Udri Mujo u šargije, hej Život bolan kao nekad Nije više, nije Život bolan kao nekad Nije više, nije, hej Kaži, mala, u šta treba Udaraću sve do neba Kaži, mala, nema mućke Udaraću oberučke Udri, udri, udri, Mujo Udri Mujo u tepsiju Udri, udri, udri, Mujo Udri Mujo u tepsiju, hej Ja u srcu tebe čuvam Bosanskog deliju Ja u srcu tebe čuvam Bosanskog deliju, hej Slušaj, mala, frke nema Sa tobom je prava šema Slušaj, mala, matere ti Ja ću vazda udarati, joj Udri, Mujo Joj, joj, 'oću, bona Kaži u šta trebam udarat još ","[0, 0, 0.5686376094818115, 0, 0, 0, 0]",['sr'],0.562,0.449,1,-10.677,1,0.0319,0.312,0.0,0.252,0.786,94.791,audio_features,6DrqTCbL5utw2VFrMduPxw,spotify:track:6DrqTCbL5utw2VFrMduPxw,https://api.spotify.com/v1/tracks/6DrqTCbL5utw2VFrMduPxw,https://api.spotify.com/v1/audio-analysis/6DrqTCbL5utw2VFrMduPxw,165213,4
Aftershock,False,"['Macky Gee', 'Stuart Rowe']","['5EDztvTkyoKtK0ZdEdhOFx', '2qwGUda21fiqR1wm69HWN6']","['bass house', 'tekk']",2017-08-07,"I feel the aftershock inside me Vibrations barely touch my skin The bass is taking over my body, yeah Just let the aftershock in ♪ ♪ Just let the aftershock in The aftershock in Just let the aftershock in ♪ The aftershock in ","[0, 0, 0.8072131276130676, 0, 0, 0, 0]",['en'],0.688,0.922,6,0.444,0,0.0362,0.263,0.0302,0.186,0.695,175.054,audio_features,6DsPM0HMAXN5x4pzBR6bbo,spotify:track:6DsPM0HMAXN5x4pzBR6bbo,https://api.spotify.com/v1/tracks/6DsPM0HMAXN5x4pzBR6bbo,https://api.spotify.com/v1/audio-analysis/6DsPM0HMAXN5x4pzBR6bbo,230400,4
Схожу от тебя с ума,False,['Lida'],['0ChMIwzbYxHbebgoPeETfV'],"['russian hip hop', 'russian rave']",2021-05-28,"Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза – очень странная Луна Я схожу от тебя с ума Мне осталось только голодать И я в соло по пустым домам Чтоб эвейдить эти холода Без тебя Ла-ла-ла Ла-ла-ла А, йоу! Наливаю London'ы Hill в бокалы, выжираю их до дна С самого начала я всё уже знал, но тебе ничего не сказал Дым вылетает из лёгких тонко так, будто бы он стрела Такой вот грустный в нашей сказке получился Леголас Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза – очень странная Луна Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза – очень странная Луна Я растаял на губах, будто самый первый снег Посмотри в мои глаза: там пустота стеклянных лет Утони, возьми ещё, я оставлю на запас Во мне самый кислый мёд, люди ненавидят нас Йоу, ненавидят нас! Мои слёзки из глаз на бетонный пол Ведь всё, что было – эт лишь обман Не вижу ни чё, вокруг туман И мы разбежались по домам Я сделал всё сам Сам виноват, но пути нет назад Прости, малыш, я буду любить тебя всегда И навещать, пока ты спишь Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза – очень странная Луна Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза – очень странная Луна Давай, а! Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза – очень странная Луна Я схожу от тебя с ума Без тебя не варит голова Ведь ты пахнешь ярче Saint Laurent А твои стёклышки-глаза – очень странная Луна Схожу от тебя с ума ...тебя не варит голова Пахнешь ярче Saint Laurent ...глаза – очень странная Луна ","[0, 0, 0.3508259356021881, 0, 0, 0, 0]",['ru'],0.689,0.808,0,-6.907,0,0.0401,0.00323,8.33e-06,0.137,0.488,126.083,audio_features,6DtEPbpFydBczo53KMAcBK,spotify:track:6DtEPbpFydBczo53KMAcBK,https://api.spotify.com/v1/tracks/6DtEPbpFydBczo53KMAcBK,https://api.spotify.com/v1/audio-analysis/6DtEPbpFydBczo53KMAcBK,266667,4
Namo Namo,False,['Amit Trivedi'],['7HCqGPJcQTyGJ2yqntbuyr'],"['filmi', 'modern bollywood']",2018-11-27,"जय हो, जय हो, शंकरा (भोलेनाथ-शंकरा) आदिदेव शंकरा (हे शिवाय-शंकरा) तेरे जाप के बिना (भोलेनाथ-शंकरा) चले ये साँस किस तरह? (हे शिवाय-शंकरा) मेरा कर्म तू ही जाने, क्या बुरा है, क्या भला (क्या बुरा है, क्या भला, क्या बुरा है, क्या भला) तेरे रास्ते पे मैं तो आँख मूँद के चला (आँख मूँद के चला, आँख मूँद के चला) तेरे नाम की ज्योत ने सारा हर लिया तमस मेरा नमो-नमो जी शंकरा, भोलेनाथ-शंकरा हे त्रिलोकनाथ-शंभु, हे शिवाय-शंकरा नमो-नमो जी शंकरा, भोलेनाथ-शंकरा रुद्रदेव, हे महेश्वरा ♪ सृष्टि के जनम से भी पहले तेरा वास था ये जग रहे या ना रहे, रहेगी तेरी आस्था क्या समय, क्या प्रलय दोनों में तेरी महानता, महानता, महानता सीपियों की ओट में (भोलेनाथ-शंकरा) मोतियाँ हों जिस तरह (हे शिवाय-शंकरा) मेरे मन में, शंकरा (भोलेनाथ-शंकरा) तू बसा है उस तरह (हे शिवाय-शंकरा) मुझे भरम था जो है मेरा, था कभी नहीं मेरा (था कभी नहीं मेरा, था कभी नहीं मेरा) अर्थ क्या, निरर्थ क्या है, जो भी है, सभी तेरा (जो भी है, सभी तेरा, जो भी है, सभी तेरा) तेरे सामने है झुका, मेरे सर पे हाथ रख तेरा नमो-नमो जी शंकरा, भोलेनाथ-शंकरा हे त्रिलोकनाथ-शंभु, हे शिवाय-शंकरा नमो-नमो जी शंकरा, भोलेनाथ-शंकरा रुद्रदेव, हे महेश्वरा ♪ चंद्रमा ललाट पे, भस्म है भुजाओं में वस्त्र बाघ-छाल का, है खड़ाऊँ पाँव में प्यास क्या हो तुझे गंगा है तेरी जटाओं में, जटाओं में, जटाओं में दूसरों के वास्ते (भोलेनाथ-शंकरा) तू सदैव ही जिया (हे शिवाय-शंकरा) माँगा कुछ कभी नहीं (भोलेनाथ-शंकरा) तूने सिर्फ़ है दिया (हे शिवाय-शंकरा) समुद्र मंथन का था समय जो आ पड़ा (था समय जो आ पड़ा, था समय जो आ पड़ा) द्वंद्व दोनों लोक में विषामृत पे था छिड़ा (विषामृत पे था छिड़ा, विषामृत पे था छिड़ा) अमृत सभी में बाँट के, प्याला विष का तूने ख़ुद पिया नमो-नमो जी शंकरा, भोलेनाथ-शंकरा हे त्रिलोकनाथ-शंभु, हे शिवाय-शंकरा नमो-नमो जी शंकरा, भोलेनाथ-शंकरा रुद्रदेव, हे महेश्वरा नमो-नमो जी शंकरा, भोलेनाथ-शंकरा हे त्रिलोकनाथ-शंभु, हे शिवाय-शंकरा नमो-नमो जी शंकरा, भोलेनाथ-शंकरा रुद्रदेव, हे महेश्वरा रुद्रदेव, हे महेश्वरा रुद्रदेव, हे महेश्वरा ","[0, 0, 0, 0, 0.6249651908874512, 0, 0]","['hi', 'mr']",0.644,0.71,4,-6.217,1,0.0309,0.436,0.0,0.121,0.329,119.93,audio_features,6DwBCjospi1c9WsRVfoCwN,spotify:track:6DwBCjospi1c9WsRVfoCwN,https://api.spotify.com/v1/tracks/6DwBCjospi1c9WsRVfoCwN,https://api.spotify.com/v1/audio-analysis/6DwBCjospi1c9WsRVfoCwN,322250,4
